Colony Prefix,Colony Name,Strain,Cohort Name,Pipeline,Gene Name,Mouse Name,Litter,Mouse,Genotype,Gender,Birth Date,Assay Date,Age In Weeks,Pil Holder,Weight,Nose To Tail Base Length,Bone Mineral Density,Bone Mineral Content,Bone Area,Lean Mass,Fat Mass,Est Total Tissue Mass,Fat Percentage Estimate,Full Strain,Core Strain
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090502,Mouse GP,Sparc,MBAU34.2f,MBAU34,M00260466,Sparc/Sparc,Female,03-May-09,07-Aug-09,13.7,,26.7,9.5,0.0443,0.3751,8.46,17.29,9.76,27.05,36.09,C57BL/6J-Tyr<c-Brd>(25%);C57BL/6NTac/Den(50%);C57BL/6N(25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090502,Mouse GP,Sparc,MBAU34.2g,MBAU34,M00260467,Sparc/Sparc,Female,03-May-09,07-Aug-09,13.7,,27.6,9.5,0.0427,0.3398,7.95,15.99,12.03,28.02,42.92,C57BL/6J-Tyr<c-Brd>(25%);C57BL/6NTac/Den(50%);C57BL/6N(25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090502,Mouse GP,Sparc,MBAU34.2h,MBAU34,M00260468,Sparc/Sparc,Female,03-May-09,07-Aug-09,13.7,,30.7,9.3,0.0451,0.4038,8.95,17.73,12.58,30.31,41.51,C57BL/6J-Tyr<c-Brd>(25%);C57BL/6NTac/Den(50%);C57BL/6N(25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090502,Mouse GP,Sparc,MBAU42.2d,MBAU42,M00260475,Sparc/Sparc,Female,29-Apr-09,07-Aug-09,14.3,,24.9,9.7,0.0443,0.3735,8.43,14.84,9.24,24.08,38.37,C57BL/6J-Tyr<c-Brd>(25%);C57BL/6NTac/Den(50%);C57BL/6N(25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090817,Mouse GP,Sparc,MBAU78.2c,MBAU78,M00330799,Sparc/Sparc,Female,17-Aug-09,23-Nov-09,14,,27.9,9.7,0.047,0.413,8.79,17.34,10.9,28.24,38.59,C57BL/6J-Tyr<c-Brd>(37.5%);C57BL/6NTac/Den(25%);C57BL/6N(37.5%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090817,Mouse GP,Sparc,MBAU78.2d,MBAU78,M00330800,Sparc/Sparc,Female,17-Aug-09,23-Nov-09,14,,25.1,9.7,0.0433,0.369,8.52,15.84,9.12,24.96,36.54,C57BL/6J-Tyr<c-Brd>(37.5%);C57BL/6NTac/Den(25%);C57BL/6N(37.5%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090817,Mouse GP,Sparc,MBAU78.2e,MBAU78,M00330801,Sparc/Sparc,Female,17-Aug-09,23-Nov-09,14,,21.7,9.5,0.0419,0.3125,7.46,15.38,5.99,21.37,28.05,C57BL/6J-Tyr<c-Brd>(37.5%);C57BL/6NTac/Den(25%);C57BL/6N(37.5%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090318,Mouse GP,Sparc,MBAU44.1a,MBAU44,M00226962,Sparc/Sparc,Male,18-Mar-09,23-Jun-09,13.9,,32.8,10,0.0454,0.4421,9.73,18.31,14.19,32.5,43.65,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090318,Mouse GP,Sparc,MBAU44.1b,MBAU44,M00226963,Sparc/Sparc,Male,18-Mar-09,23-Jun-09,13.9,,38,10.2,,,,,,,,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090318,Mouse GP,Sparc,MBAU44.1c,MBAU44,M00226964,Sparc/Sparc,Male,18-Mar-09,23-Jun-09,13.9,,34.9,10,0.0471,0.5182,11,19.64,14.85,34.49,43.06,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
