Colony Prefix,Colony Name,Strain,Cohort Name,Pipeline,Gene Name,Mouse Name,Litter,Mouse,Genotype,Gender,Birth Date,Assay Date,Age In Weeks,Pil Holder,Weight,Nose To Tail Base Length,Bone Mineral Density,Bone Mineral Content,Bone Area,Lean Mass,Fat Mass,Est Total Tissue Mass,Fat Percentage Estimate,Full Strain,Core Strain
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090318,Mouse GP,Sparc,MBAU44.1a,MBAU44,M00226962,Sparc/Sparc,Male,18-Mar-09,23-Jun-09,13.9,,32.8,10,0.0454,0.4421,9.73,18.31,14.19,32.5,43.65,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090318,Mouse GP,Sparc,MBAU44.1b,MBAU44,M00226963,Sparc/Sparc,Male,18-Mar-09,23-Jun-09,13.9,,38,10.2,,,,,,,,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090318,Mouse GP,Sparc,MBAU44.1c,MBAU44,M00226964,Sparc/Sparc,Male,18-Mar-09,23-Jun-09,13.9,,34.9,10,0.0471,0.5182,11,19.64,14.85,34.49,43.06,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090929,Mouse GP,Sparc,MBAU78.4a,MBAU78,M00354835,Sparc/Sparc,Male,29-Sep-09,06-Jan-10,14.1,,38.5,10.2,0.0483,0.4967,10.28,21.91,17.04,38.95,43.74,C57BL/6J-Tyr<c-Brd>(37.5%);C57BL/6NTac/Den(25%);C57BL/6N(37.5%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090929,Mouse GP,Sparc,MBAU78.4b,MBAU78,M00354836,Sparc/Sparc,Male,29-Sep-09,06-Jan-10,14.1,,35.8,9.9,0.0486,0.4687,9.65,20.8,15.7,36.5,43,C57BL/6J-Tyr<c-Brd>(37.5%);C57BL/6NTac/Den(25%);C57BL/6N(37.5%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20090929,Mouse GP,Sparc,MBAU78.4c,MBAU78,M00354837,Sparc/Sparc,Male,29-Sep-09,06-Jan-10,14.1,,40.6,10.3,0.0483,0.4871,10.08,24.25,17.22,41.47,41.52,C57BL/6J-Tyr<c-Brd>(37.5%);C57BL/6NTac/Den(25%);C57BL/6N(37.5%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20091123,Mouse GP,Sparc,MBAU86.2a,MBAU86,M00405764,Sparc/Sparc,Male,23-Nov-09,01-Mar-10,14,,35.1,9.6,0.0465,0.4297,9.25,20.25,14.85,35.1,42.3,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20091123,Mouse GP,Sparc,MBAU86.2c,MBAU86,M00405766,Sparc/Sparc,Male,23-Nov-09,01-Mar-10,14,,33.2,9.5,0.0465,0.4727,10.17,19.54,13.67,33.21,41.15,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MBAU,Sparc Knockout First EPD0060_1_A07,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MBAU Mouse GP 20091123,Mouse GP,Sparc,MBAU86.2d,MBAU86,M00405767,Sparc/Sparc,Male,23-Nov-09,01-Mar-10,14,,32.6,9.5,0.0444,0.3945,8.88,20.07,12.26,32.33,37.91,C57BL/6J-Tyr<c-Brd>(31.25%);C57BL/6NTac/Den(37.5%);C57BL/6N(31.25%),B6JTyr;B6N
MALA,Ccdc57 Knockout First EPD0037_3_D11,C57BL/6J-Tyr<c-Brd>;C57BL/6NTac/Den;C57BL/6N,MALA Mouse GP 20090125,Mouse GP,Ccdc57,MALA17.2a,MALA17,M00194355,+/+,Male,25-Jan-09,05-May-09,14.3,,37.1,10.2,0.0495,0.4837,9.78,20.25,17.67,37.92,46.6,C57BL/6J-Tyr<c-Brd>(25%);C57BL/6NTac/Den(50%);C57BL/6N(25%),B6JTyr;B6N
