pipeline name, pipelineStableId, procedureStableId, procedureName, parameterStableId, parameterName, backgroundId, background, geneSymbol, geneAccession, alleleSymbol, alleleAccession, phenotypingCenter, colonyId, dateOfExperiment, zygosity, sex, group, externalSampleId, metadata, metadataGroup,dataPoint
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,female,experimental,AAQD_348_001902,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-02T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-02T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.44
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_394_002204,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-03T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-03T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.59
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,female,experimental,AAQD_352_002002,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-10T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-10T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.51
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,female,experimental,AAQD_375_001803,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-02T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-02T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.3
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_335_002302,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-02T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-02T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.76
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_334_002301,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-02T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-02T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.69
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_392_002202,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-03T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-03T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.75
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,female,experimental,AAQD_389_001701,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-03T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-03T00:00:00Z, Hemolysis status = Slight, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.45
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_357_002557,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-03T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-03T00:00:00Z, Hemolysis status = Slight, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.74
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,female,experimental,AAQD_340_001801,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-02T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-02T00:00:00Z, Hemolysis status = Slight, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.12
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_379_002404,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-03T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-03T00:00:00Z, Hemolysis status = Slight, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.52
TCP Pipeline,TCP_001,IMPC_CBC_003,Clinical Blood Chemistry,IMPC_CBC_009_001,Calcium,MGI:2683688,C57BL/6NCrl,Tox3,MGI:3039593,Tox3<tm1b(KOMP)Mbp>,MGI:5548886,TCP,BL2283,Thu Apr 18 00:00:00 BST 2013,heterozygote,male,experimental,AAQD_388_002201,"""[Equipment ID = Machine 1, Equipment manufacturer = Beckman Coulter, Equipment model = AU 480, Anesthesia used for blood collection = Gas anaesthesia with Isofluorane, Method of blood collection = Retro-orbital puncture, Anticoagulant = Lithium Heparin, Blood collection tubes = BD Microtainer Lithium Heparin/PST Gel Blood Tube, Date and time of sacrifice = 2013-04-03T00:00:00Z, Storage temperature from blood collection till measurement = 18-22, Samples kept on ice between collection and analysis = Yes, Sample status = Frozen, Sample dilution = Neat plasma, ID of blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-04-03T00:00:00Z, Sample type = Plasma, Fasting = No]""",c32189c80deda21d74b9acee05e80335,9.43
