"","Mouse.Name","Mouse","Genotype","Weight.Value","Colony.Prefix","Colony.Name","Cohort.Name","Pipeline","Gene.Name","Gender","Birth.Date","Assay.Date","Age.In.Weeks","X","X.1","Blood.Volume","Anaesthetic","Sodium","K","Cl","Gluc","Trigs","Chol","Hdl","Ldl","Nefac","Glyc","Frct","Amy","Tp","Alb","Ca","Phos","Iron","Ast","Alp","Alt","Creat","Urea","Tbilc","Ck","Mg","Lih","Comments","Hitachi.Cup","T4","Insulin","Insulin.Assay.Date","Full.Strain","Core.Strain","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","Sodium_added"
"1","MAYU40.2c","M00770640","+/+",37.9,"MAYU","March5 Knockout 2 EPD0180_5_B02","B6N Mouse GP 20110318","Mouse GP","Mar-05","Female","16-Mar-11","07-Jul-11",16.1,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",139.4,4.9,103.5,31.51,0.9,5.92,3.63,1.52,0.567,191.2,193.24,639.9,51.5,26.3,2.32,3.2,35.9,327.6,181.3,294.9,7.9,8.9,2.8,167.8,0.99,"LIP: Normal    ICT: Normal    HEM: Normal","Haemolyzed + ",17441,6.6,0.49,"05-Oct-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",139.4
"2","MAYU36.2i","M00770633","+/+",31.5,"MAYU","March5 Knockout 2 EPD0180_5_B02","B6N Mouse GP 20110318","Mouse GP","Mar-05","Female","18-Mar-11","07-Jul-11",15.9,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",139,4,104.3,27.41,0.71,3.57,2.6,0.65,0.51,189.5,181.87,596.9,47.6,25.6,2.27,3.2,25.5,132.2,126,88.4,8.2,9.2,2.2,281.1,0.89,"LIP: Normal    ICT: Normal    HEM: Normal","",17495,7.3,0.31,"05-Oct-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",139
"3","MAYU36.2h","M00770632","+/+",28.3,"MAYU","March5 Knockout 2 EPD0180_5_B02","B6N Mouse GP 20110318","Mouse GP","Mar-05","Female","18-Mar-11","07-Jul-11",15.9,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",144.5,4.1,108.9,20.84,0.77,3,2.17,0.61,0.534,165.5,176.19,594.4,46,24.4,2.3,3.24,37.3,74.5,128.4,34.7,9.7,10.1,1.9,434.9,0.92,"LIP: Normal    ICT: Normal    HEM: Normal","",17195,6.3,0.55,"05-Oct-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",144.5
"4","MCYY36.2f","M00772450","+/+",28.7,"MCYY","Fryl Knockout 1 EPD0553_3_A01","B6N Mouse GP 20110318","Mouse GP","Fryl","Female","19-Mar-11","07-Jul-11",15.7,NA,NA,750,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.8,4,107.9,28.22,0.84,3.78,2.62,0.79,0.385,156.3,153.45,564.4,43.2,23.95,2.26,2.66,29.1,152.7,104.4,98.7,9.6,8.3,1.7,114.8,0.87,"LIP: Normal    ICT: Normal    HEM: Normal","",17528,5.3,0.24,"05-Oct-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.8
"5","MCYY32.2e","M00772442","+/+",29.2,"MCYY","Fryl Knockout 1 EPD0553_3_A01","B6N Mouse GP 20110318","Mouse GP","Fryl","Female","19-Mar-11","07-Jul-11",15.7,NA,NA,750,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",142.9,4,109.3,27.23,0.86,3.91,2.76,0.76,0.632,233.4,173.34,541.3,47.9,26.97,2.28,2.31,30.4,89.4,121.5,56.1,8.9,6.6,2,35.3,0.91,"LIP: Normal    ICT: Normal    HEM: Normal","",17536,5.4,0.28,"05-Oct-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",142.9
"6","MCYY32.2f","M00772443","+/+",32.1,"MCYY","Fryl Knockout 1 EPD0553_3_A01","B6N Mouse GP 20110318","Mouse GP","Fryl","Female","19-Mar-11","07-Jul-11",15.7,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.7,4.7,106.6,28.29,0.62,4.47,3,1,0.38,132.7,179.03,589.4,47.6,25.58,2.31,3.05,43,214.6,179.8,169.2,10,9.7,2.9,185.9,0.95,"LIP: Normal    ICT: Normal    HEM: Normal","Haemolyzed + ",17508,5.9,0.57,"05-Oct-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.7
"7","MAYU36.2f","M00770630","+/+",27.6,"MAYU","March5 Knockout 2 EPD0180_5_B02","B6N Mouse GP 20110318","Mouse GP","Mar-05","Female","18-Mar-11","07-Jul-11",15.9,NA,NA,750,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",144.7,4,110.8,20.41,0.61,3.53,2.47,0.73,0.492,162,170.5,618.6,46.3,25.26,2.31,2.88,19.5,64,115.7,33.7,9.7,9.5,1.1,93.2,0.9,"LIP: Normal    ICT: Normal    HEM: Normal","",17521,6.4,0.7,"05-Oct-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",144.7
"8","MCGU42.1e","M00779232","+/+",31.1,"MCGU","Ears2 Knockout First EPD0089_1_A11","B6N Mouse GP 20110322","Mouse GP","Ears2","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",140.8,3.2,104.6,17.41,0.55,4.27,2.84,1.15,0.364,158.1,193.18,505.8,50.3,26.34,2.23,1.98,33.8,277.1,139.6,197.1,9.2,9.6,1.6,190.3,0.89,"LIP: Normal    ICT: Normal    HEM: Normal","",17557,6.1,0.59,"20-Dec-11","C57BL/6N(50%);C57BL/6NTac(50%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",140.8
"9","MCWC31.2a","M00777571","+/+",32.9,"MCWC","Ufl1 tm1a(EUCOMM)Wtsi EPD0169_3_F12","B6N Mouse GP 20110322","Mouse GP","Ufl1","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",138.3,3.4,102.7,22.51,0.46,3.88,2.78,0.89,0.42,154.4,184.53,700.3,47.4,26.28,2.31,2.24,31.3,104.6,133.6,55.5,10,8,1.3,342.3,0.92,"LIP: Normal    ICT: Normal    HEM: Normal","",17547,6.3,0.33,"20-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",138.3
"10","MCWC34.1g","M00777610","+/+",29.4,"MCWC","Ufl1 tm1a(EUCOMM)Wtsi EPD0169_3_F12","B6N Mouse GP 20110322","Mouse GP","Ufl1","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",139.2,3.4,104,19.22,0.9,3.93,2.8,0.84,0.516,180.1,190.29,1016.2,47.8,26.2,2.26,2.78,29.7,164.5,139.8,95.3,8.9,9.1,1.5,599,1.03,"LIP: Normal    ICT: Normal    HEM: Normal","",17551,6.6,0.28,"20-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",139.2
"11","MCWC36.1b","M00777616","+/+",21.6,"MCWC","Ufl1 tm1a(EUCOMM)Wtsi EPD0169_3_F12","B6N Mouse GP 20110322","Mouse GP","Ufl1","Female","25-Mar-11","13-Jul-11",15.7,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",138.2,3.4,103.1,22.95,1.4,3.38,2.25,0.81,0.605,154.2,184.52,682.6,46.4,25.04,2.21,2.71,29.7,71,109.9,24.7,9.6,6.2,1.9,310.3,0.96,"LIP: ABN    ICT: ABN    HEM: ABN","Haemolyzed + ",17561,7.2,0.08,"20-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",138.2
"12","MCGU42.1d","M00779231","+/+",35.8,"MCGU","Ears2 Knockout First EPD0089_1_A11","B6N Mouse GP 20110322","Mouse GP","Ears2","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,900,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",140.4,3.6,105.4,19.32,0.65,4.16,2.82,1.03,0.466,268.8,178.76,607.4,48.4,26.98,2.28,2.33,40.5,161.5,140.6,96.8,10.2,8.8,1.8,161.1,0.79,"LIP: Normal    ICT: Normal    HEM: Normal","",17543,6.1,0.79,"20-Dec-11","C57BL/6N(50%);C57BL/6NTac(50%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",140.4
"13","MCGU42.1f","M00779233","+/+",30.5,"MCGU","Ears2 Knockout First EPD0089_1_A11","B6N Mouse GP 20110322","Mouse GP","Ears2","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,600,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",139.1,3.9,104.6,20.11,0.56,3.6,2.48,0.88,0.446,230.6,187.41,548.1,48.7,25.83,2.27,2.32,34.7,261.6,132.8,151.9,10.2,7.3,3,1326.9,0.87,"LIP: TestTemplate not performed    ICT: TestTemplate not performed    HEM: TestTemplate not performed","Insufficient Volume ",17401,6.2,0.39,"20-Dec-11","C57BL/6N(50%);C57BL/6NTac(50%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",139.1
"14","MCGU42.1g","M00779234","+/+",30.9,"MCGU","Ears2 Knockout First EPD0089_1_A11","B6N Mouse GP 20110322","Mouse GP","Ears2","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,750,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",138.1,4,104.6,21.23,1.04,4.87,3.02,1.44,0.481,171.4,175.88,546.9,48.6,26.09,2.27,2.38,41.5,187.5,175.7,142.9,8.7,6.3,2,238.9,0.88,"LIP: Normal    ICT: Normal    HEM: Normal","",17285,8,0.41,"20-Dec-11","C57BL/6N(50%);C57BL/6NTac(50%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",138.1
"15","MCGU42.1h","M00779235","+/+",32.5,"MCGU","Ears2 Knockout First EPD0089_1_A11","B6N Mouse GP 20110322","Mouse GP","Ears2","Female","22-Mar-11","13-Jul-11",16.1,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",138.3,3.8,103.2,24.9,0.72,4.49,2.89,1.29,0.551,200.1,181.64,576.2,49.9,26.8,2.24,2.62,35.1,258,176.3,180.8,8.7,7.5,1.8,230.4,0.78,"LIP: Normal    ICT: Normal    HEM: Normal","",17562,6.7,0.29,"20-Dec-11","C57BL/6N(50%);C57BL/6NTac(50%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",138.3
"16","MCFF31.2g","M00783058","+/+",31,"MCFF","9030409G11Rik Knockout First EPD0157_6_B09","B6N Mouse GP 20110401","Mouse GP","Kazn","Female","30-Mar-11","21-Jul-11",16.1,NA,NA,850,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.3,4.1,105.6,27.74,0.78,4.2,2.98,0.86,0.55,194.1,178.39,591.7,51.9,25.65,2.32,2.89,28.4,117.6,152.1,59.7,7.4,8,1.8,341.9,0.87,"LIP: Normal    ICT: Normal    HEM: Normal","",17604,6.2,0.33,"09-Jan-12","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.3
