Genotype,Gender,Param,Weight,Assay.Date
3,Male,94.4,39.2,23/06/2009
3,Male,104.7,34.9,23/06/2009
3,Male,87.1,30.1,23/06/2009
3,Male,102.2,null,23/06/2009
3,Female,74.3,28.9,23/06/2009
3,Female,81.1,27.1,23/06/2009
3,Female,81.6,29.4,23/06/2009
3,Female,77.3,25.5,23/06/2009
1,Female,45,25.6,21/04/2009
1,Female,85.8,22.7,21/04/2009
1,Female,78.5,20.4,21/04/2009
1,Female,90.6,17.6,21/04/2009
1,Female,94.4,28.7,17/04/2009
1,Female,72.5,23.9,19/03/2009
1,Female,63.5,22.3,19/03/2009
1,Female,100,30.3,16/03/2009
1,Female,58.8,24,16/03/2009
1,Female,84.1,26.3,08/05/2009
1,Female,99.2,27.3,08/05/2009
1,Female,91.4,30.7,08/05/2009
1,Female,74.7,33.3,15/04/2009
1,Female,100,29.7,15/04/2009
1,Female,76,25.7,15/04/2009
1,Female,84.6,30,01/05/2009
1,Female,63.9,28.4,01/05/2009
1,Female,73,26.7,01/05/2009
1,Female,88.9,26.9,17/04/2009
1,Female,83.3,25.5,17/04/2009
1,Female,95.7,23.9,17/04/2009
1,Female,88.4,22.1,17/04/2009
1,Female,122.8,32.2,08/05/2009
1,Female,79.4,23.9,01/05/2009
1,Female,78.1,24.7,01/05/2009
1,Female,49.8,26.4,01/05/2009
1,Female,83.3,21.2,01/05/2009
1,Female,92.3,25.9,27/03/2009
1,Female,70,20.1,27/03/2009
1,Female,96.6,23.8,27/03/2009
1,Female,85.8,25,27/03/2009
1,Female,52.3,26.4,03/04/2009
1,Female,97.4,22.9,03/04/2009
1,Female,73.8,28.9,03/04/2009
1,Female,45,20.5,03/04/2009
1,Female,97.9,22,31/03/2009
1,Female,62.7,22.6,03/04/2009
1,Female,101.3,27,03/04/2009
1,Female,109,24.3,29/04/2009
1,Female,92.3,29.6,29/04/2009
1,Female,88.9,22.7,17/04/2009
1,Female,79,25.2,17/04/2009
1,Female,100.4,17.8,06/05/2009
1,Female,108.6,29.3,09/04/2009
1,Female,75.7,25.6,09/04/2009
1,Female,69.5,27.2,09/04/2009
1,Female,70,22.9,09/04/2009
1,Female,92.6,23.5,24/03/2009
1,Female,77.7,24.6,24/03/2009
1,Female,60.1,27.1,24/03/2009
1,Female,85,27.4,24/03/2009
1,Female,93.6,22.3,06/05/2009
1,Female,87.1,25.8,09/04/2009
1,Female,85,25.2,09/04/2009
1,Female,66.1,22.7,17/04/2009
1,Female,88,27.5,17/04/2009
1,Female,88,27.4,17/04/2009
1,Female,66.1,30.2,17/04/2009
1,Female,110.3,29.4,24/03/2009
1,Female,89.3,29.5,24/03/2009
1,Female,91,24,17/03/2009
1,Female,87.1,30.7,17/03/2009
1,Female,81.1,22.9,27/05/2009
1,Female,106.5,22.1,27/05/2009
1,Female,91,23.3,27/05/2009
1,Female,87.6,24.3,27/05/2009
1,Female,81.6,32.6,27/05/2009
1,Female,60.1,27,27/05/2009
1,Female,66.1,28.5,27/05/2009
1,Female,81.6,32.2,27/05/2009
1,Female,100.4,22.6,13/05/2009
1,Female,92.3,23.7,13/05/2009
1,Female,84.1,27.2,13/05/2009
1,Female,68.2,21.7,06/05/2009
1,Female,82.8,28.7,06/05/2009
1,Female,103,27.9,02/06/2009
1,Female,46.8,24.2,02/06/2009
1,Female,76.8,23.2,02/06/2009
1,Female,45.9,21.5,02/06/2009
1,Female,77.3,31.7,13/05/2009
1,Female,100,19.9,13/05/2009
1,Female,110.8,27.1,13/05/2009
1,Female,85.4,20.8,13/05/2009
1,Female,73.4,23.5,13/05/2009
1,Female,81.1,27.3,02/06/2009
1,Female,79.8,25.6,02/06/2009
1,Female,76.4,26.6,02/06/2009
1,Female,67.4,24.8,02/06/2009
1,Female,58.8,30.9,22/05/2009
1,Female,49.3,23.6,22/05/2009
1,Female,67.4,22.2,22/05/2009
1,Female,95.7,24.2,22/05/2009
1,Female,106.5,28.7,22/05/2009
1,Female,81.1,28.4,22/05/2009
1,Female,106,29.2,22/05/2009
1,Female,97,24.3,12/05/2009
1,Female,125.8,32.8,22/05/2009
1,Female,108.6,29.7,24/04/2009
1,Female,74.7,24.1,24/04/2009
1,Female,106.5,20.3,24/04/2009
1,Female,66.1,22.5,24/04/2009
1,Female,71.2,26.2,17/06/2009
1,Female,32.6,22.7,17/06/2009
1,Female,74.3,22.9,09/06/2009
1,Female,53.2,21.4,09/06/2009
1,Female,60.9,26.4,09/06/2009
1,Female,98.3,27,09/06/2009
1,Female,74.7,28.3,09/06/2009
1,Female,79.4,31,09/06/2009
1,Female,64.4,25.6,29/04/2009
1,Female,76,24.3,17/06/2009
1,Female,41.6,25.6,17/06/2009
1,Female,81.6,22.5,17/06/2009
1,Female,79.8,22.1,17/06/2009
1,Female,72.5,25.3,17/06/2009
1,Female,74.7,21.3,17/06/2009
1,Female,89.3,26.6,09/06/2009
1,Female,113.8,26.1,09/06/2009
1,Female,103.9,28.3,02/03/2009
1,Female,88.9,27.5,02/03/2009
1,Female,64.8,24.4,02/03/2009
1,Female,98.3,24.8,23/02/2009
1,Female,108.6,25,23/02/2009
1,Female,104.7,32,12/03/2009
1,Female,93.6,27.1,24/02/2009
1,Female,94.4,24.2,23/02/2009
1,Female,73.4,25.5,23/02/2009
1,Female,84.1,24,23/02/2009
1,Female,54.1,24.2,12/03/2009
1,Female,86.7,30.2,12/03/2009
1,Female,117.6,26.3,20/02/2009
1,Female,81.1,27.3,20/02/2009
1,Female,94.4,26.9,12/03/2009
1,Female,72.5,27.2,12/03/2009
1,Female,84.6,28.1,12/03/2009
1,Female,61.8,26,12/03/2009
1,Female,66.1,27,12/03/2009
1,Female,84.1,26.4,20/02/2009
1,Female,80.3,24.4,20/02/2009
1,Female,94,22.8,20/02/2009
1,Female,69.5,22.7,20/02/2009
1,Female,101.7,25,06/03/2009
1,Female,113.8,25.8,06/03/2009
1,Female,102.2,25,06/03/2009
1,Female,82,26.4,06/03/2009
1,Female,110.8,27,06/03/2009
1,Male,118.5,36.6,17/03/2009
1,Male,81.1,34,17/03/2009
1,Male,88,37.6,24/03/2009
1,Male,107.7,36.3,24/03/2009
1,Male,65.2,39.2,24/03/2009
1,Male,85.8,27.2,17/03/2009
1,Male,90.1,28.9,17/03/2009
1,Male,111.2,35.4,06/04/2009
1,Male,114.2,36.7,22/04/2009
1,Male,109.9,31.6,22/04/2009
1,Male,72.1,29.1,01/05/2009
1,Male,60.5,29.7,01/05/2009
1,Male,75.5,28.6,17/04/2009
1,Male,89.7,32.7,17/04/2009
1,Male,85.8,28.6,01/05/2009
1,Male,103.9,27.6,01/05/2009
1,Male,97.9,31.3,01/05/2009
1,Male,85,29.7,01/05/2009
1,Male,79.4,33.3,17/04/2009
1,Male,85.4,34.4,17/04/2009
1,Male,51.5,29.6,22/04/2009
1,Male,65.7,28.4,22/04/2009
1,Male,94.9,37.3,08/05/2009
1,Male,88.4,39.8,08/05/2009
1,Male,134.4,29,08/05/2009
1,Male,104.3,33.3,08/05/2009
1,Male,97.9,31.9,21/04/2009
1,Male,81.1,30.8,21/04/2009
1,Male,71.2,33,21/04/2009
1,Male,115.9,32.2,21/04/2009
1,Male,75.5,36.1,27/03/2009
1,Male,88.4,30.8,27/03/2009
1,Male,81.6,30.2,27/03/2009
1,Male,75.5,34,27/03/2009
1,Male,103.5,35,03/04/2009
1,Male,80.7,33.5,03/04/2009
1,Male,62.7,34.3,03/04/2009
1,Male,69.5,26.1,27/03/2009
1,Male,70,29.9,27/03/2009
1,Male,75.5,32.8,27/03/2009
1,Male,50.6,27.5,31/03/2009
1,Male,80.3,30.5,31/03/2009
1,Male,65.2,39.7,03/04/2009
1,Male,99.6,37.3,03/04/2009
1,Male,104.7,35.3,24/03/2009
1,Male,108.6,31,31/03/2009
1,Male,109,32.3,31/03/2009
1,Male,72.1,27.6,09/04/2009
1,Male,78.5,29.4,09/04/2009
1,Male,83.3,29.5,09/04/2009
1,Male,64.4,33.4,09/04/2009
1,Male,109,27.8,09/04/2009
1,Male,78.1,34.3,06/05/2009
1,Male,63.1,31.3,06/05/2009
1,Male,74.3,31.5,09/04/2009
1,Male,80.3,28.6,09/04/2009
1,Male,91.9,27.3,24/03/2009
1,Male,72.5,41.4,24/03/2009
1,Male,87.6,27.8,17/03/2009
1,Male,80.3,31.8,09/06/2009
1,Male,77.7,35.3,27/05/2009
1,Male,74.7,36.2,27/05/2009
1,Male,66.1,39.9,27/05/2009
1,Male,112.5,35.4,27/05/2009
1,Male,60.1,28.9,27/05/2009
1,Male,63.1,28.9,27/05/2009
1,Male,60.5,31.3,27/05/2009
1,Male,85.8,31,27/05/2009
1,Male,96.2,37.9,08/05/2009
1,Male,123.2,36.6,08/05/2009
1,Male,103,36,13/05/2009
1,Male,65.7,30.4,13/05/2009
1,Male,82.8,28.6,13/05/2009
1,Male,70.8,36.1,13/05/2009
1,Male,114.6,31,02/06/2009
1,Male,61.4,34.2,02/06/2009
1,Male,121.5,30.8,02/06/2009
1,Male,72.1,36.7,02/06/2009
1,Male,61.4,29.4,13/05/2009
1,Male,70,31.1,13/05/2009
1,Male,85.8,32.7,13/05/2009
1,Male,72.1,28.5,13/05/2009
1,Male,128.4,32.1,02/06/2009
1,Male,119.3,33.2,02/06/2009
1,Male,75.5,36.7,02/06/2009
1,Male,94,33.1,22/05/2009
1,Male,121.5,35,22/05/2009
1,Male,89.2,34.3,22/05/2009
1,Male,85.4,33.9,22/05/2009
1,Male,121.1,30.1,22/05/2009
1,Male,49.8,31,22/05/2009
1,Male,93.6,33.6,22/05/2009
1,Male,107.7,32.3,22/05/2009
1,Male,59.6,32.6,12/05/2009
1,Male,94.9,33.7,12/05/2009
1,Male,79,32.8,02/06/2009
1,Male,113.3,34.5,29/04/2009
1,Male,124.9,34.6,29/04/2009
1,Male,79.8,31.5,17/06/2009
1,Male,78.1,31.9,17/06/2009
1,Male,92.3,35.3,17/06/2009
1,Male,85,36.2,17/06/2009
1,Male,113.8,36.2,17/06/2009
1,Male,102.2,35.6,17/06/2009
1,Male,85.4,33.9,17/06/2009
1,Male,60.5,37,17/06/2009
1,Male,72.5,37,09/06/2009
1,Male,93.6,33.9,09/06/2009
1,Male,78.1,35.5,09/06/2009
1,Male,60.5,33.2,09/06/2009
1,Male,94.4,31.2,09/06/2009
1,Male,94,33.6,09/06/2009
1,Male,137,33.8,09/06/2009
1,Male,67.4,28,06/03/2009
1,Male,59.6,32,06/03/2009
1,Male,71.7,29.7,02/03/2009
1,Male,101.3,30,02/03/2009
1,Male,117.2,37.8,02/03/2009
1,Male,74.3,31.9,02/03/2009
1,Male,107.3,31.3,02/03/2009
1,Male,75.1,27.7,02/03/2009
1,Male,79,33.7,02/03/2009
1,Male,51.1,31.8,02/03/2009
1,Male,71.2,null,12/03/2009
1,Male,100.4,35,12/03/2009
1,Male,94.4,31.5,12/03/2009
1,Male,50.2,38.1,23/02/2009
1,Male,77.7,33,23/02/2009
1,Male,85.8,32.2,23/02/2009
1,Male,90.6,29.4,23/02/2009
1,Male,81.1,28.4,23/02/2009
1,Male,88,25.9,23/02/2009
1,Male,51.1,26.2,23/02/2009
1,Male,100.9,29.2,12/03/2009
1,Male,89.7,27.7,12/03/2009
1,Male,89.3,31.3,12/03/2009
1,Male,98.3,29.2,12/03/2009
1,Male,86.3,33.2,20/02/2009
1,Male,100.9,30.3,20/02/2009
1,Male,141.2,37.6,20/02/2009
1,Male,106.9,37.5,20/02/2009
1,Male,96.6,37.7,20/02/2009
1,Male,71.7,25,20/02/2009
1,Male,98.3,32,06/03/2009
1,Male,79.8,32.9,06/03/2009
1,Male,120.2,29.2,06/03/2009
