Genotype,Gender,Param,Weight,Assay.Date
3,Female,4.51,null,30/10/2008
3,Male,3.68,null,31/10/2008
3,Female,49.82,null,31/10/2008
3,Male,2.07,null,30/10/2008
3,Male,1.41,null,30/10/2008
3,Female,15.96,null,31/10/2008
3,Male,14.81,null,30/10/2008
3,Female,14.38,null,30/10/2008
3,Male,0.59,null,30/10/2008
3,Female,7.28,null,31/10/2008
3,Female,32.26,null,31/10/2008
3,Male,21.55,null,31/10/2008
3,Female,33.14,null,31/10/2008
3,Female,51.6,null,31/10/2008
3,Female,0.24,null,31/10/2008
3,Male,33.6,null,31/10/2008
3,Female,31.26,null,30/10/2008
3,Female,30.96,null,30/10/2008
3,Male,0.02,null,31/10/2008
3,Male,21.48,null,31/10/2008
1,Male,0.05,28.2,14/08/2008
1,Male,0,32,14/08/2008
1,Male,1.93,29,13/08/2008
1,Male,7.14,30.2,13/08/2008
1,Male,0.31,30,13/08/2008
1,Female,3.13,25.3,12/08/2008
1,Female,0,23.2,12/08/2008
1,Male,0,30.2,15/08/2008
1,Male,1.37,31.2,15/08/2008
1,Female,4.99,23.9,13/08/2008
1,Female,0,null,30/10/2008
1,Female,0.26,null,30/10/2008
1,Female,0,null,30/10/2008
1,Female,0.13,null,30/10/2008
1,Female,0.94,null,30/10/2008
1,Female,0,null,31/10/2008
1,Male,0,null,30/10/2008
1,Female,0,null,30/10/2008
1,Female,14.72,null,31/10/2008
1,Male,0.32,null,30/10/2008
1,Male,0.33,null,31/10/2008
1,Male,0,null,31/10/2008
1,Male,0,null,30/10/2008
1,Male,0.1,null,30/10/2008
1,Male,0,null,31/10/2008
1,Male,0,null,30/10/2008
1,Male,0,null,30/10/2008
