Weekly batch name,G0NAME,Litter,Mouse name,Mouse ID,Gender,Genotype,Birth date,Assay date,Age in weeks,Body fat percentage,Bone mineral density (BMD),Body weight
Q_MC-F449,Q3MC000024005,58882,58882c,300024005,F,+/+,2008/8/18,2009/1/21,22.29 ,18.5,0.0493,23.2
Q_MC-F449,Q3MC000024006,58882,58882d,300024006,F,M/+,2008/8/18,2009/1/21,22.29 ,18.5,0.0513,27.7
Q_MC-F449,Q3MC000024011,58882,58882C,300024011,M,+/+,2008/8/18,2009/1/26,23.00 ,20.6,0.0469,32.8
Q_MC-F449,Q3MC000024012,58882,58882D,300024012,M,M/+,2008/8/18,2009/1/26,23.00 ,21,0.0471,32.3
Q_MC-F449,Q3MC000024013,58883,58883a,300024013,F,M/+,2008/8/18,2009/1/21,22.29 ,23.8,0.0531,30.9
Q_MC-F449,Q3MC000024014,58883,58883b,300024014,F,+/+,2008/8/18,2009/1/21,22.29 ,19.2,0.0497,25.2
Q_MC-F449,Q3MC000024016,58883,58883d,300024016,F,+/+,2008/8/18,2009/1/21,22.29 ,18.5,0.0496,24.8
Q_MC-F449,Q3MC000024019,58883,58883C,300024019,M,M/+,2008/8/18,2009/1/26,23.00 ,17.5,0.0457,32.8
Q_MC-F449,Q3MC000024020,58883,58883D,300024020,M,+/+,2008/8/18,2009/1/26,23.00 ,19.5,0.0474,31.9
Q_MC-F449,Q3MC000024024,58884,58884c,300024024,F,M/+,2008/8/18,2009/1/21,22.29 ,18.9,0.0469,23.4
Q_MC-F449,Q3MC000024026,58884,58884B,300024026,M,M/+,2008/8/18,2009/1/26,23.00 ,24.3,0.0476,37.3
Q_MC-F449,Q3MC000024027,58884,58884C,300024027,M,M/+,2008/8/18,2009/1/26,23.00 ,17.5,0.0475,30.5
Q_MC-F449,Q3MC000024028,58884,58884D,300024028,M,+/+,2008/8/18,2009/1/26,23.00 ,21.3,0.0469,31.6
Q_MC-F449,Q3MC000024029,58884,58884E,300024029,M,M/+,2008/8/18,2009/1/26,23.00 ,20.8,0.0482,33.2
Q_MC-F449,Q3MC000024033,58885,58885b,300024033,F,+/+,2008/8/18,2009/1/21,22.29 ,18.6,0.049,24.6
Q_MC-F449,Q3MC000024034,58885,58885c,300024034,F,M/+,2008/8/18,2009/1/21,22.29 ,18.6,0.051,25.7
Q_MC-F449,Q3MC000024040,58885,58885E,300024040,M,+/+,2008/8/18,2009/1/26,23.00 ,18.8,0.0463,28.4
